"xcut","id","experiment","site","year","field.year","timing.1cut","follow.cut","env","age","block","plot","trt.num","trt.code","treatment","date","gdd","precip","water","yield","yield.Mg","dry.matter","protein","ADF","NDF","NDFD48"
1,1,"FIG17","I2",2017,"first","boot","september","I2.2017",6,1,101,2,"b2","BS",2017-06-08,969.72,436.372,52.37,5974.05,5.97405,94.04,7.76,37.52,67.54,73.74
2,1,"FIG17","I2",2017,"first","boot","september","I2.2017",6,1,101,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,"FIG17","I2",2017,"first","boot","september","I2.2017",6,1,101,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,"FIG17","I2",2017,"first","boot","none","I2.2017",6,1,102,1,"b1","BN",2017-06-08,969.72,436.372,49.71,5854.62,5.85462,94.4,8.46,36.69,66.27,71.71
2,2,"FIG17","I2",2017,"first","boot","none","I2.2017",6,1,102,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,"FIG17","I2",2017,"first","boot","none","I2.2017",6,1,102,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,"FIG17","I2",2017,"first","boot","october","I2.2017",6,1,103,3,"b3","BO",2017-06-08,969.72,436.372,49.26,5210.38,5.21038,94.68,7.06,39.14,67.95,70.29
2,3,"FIG17","I2",2017,"first","boot","october","I2.2017",6,1,103,3,"b3","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,"FIG17","I2",2017,"first","boot","october","I2.2017",6,1,103,3,"b3","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,1,104,5,"a2","AS",2017-06-21,1256.39,502.158,66.8,3528.15,3.52815,96.01,4.92,41.34,74.52,71.77
2,4,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,1,104,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,1,104,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,1,105,4,"a1","AN",2017-06-21,1256.39,502.158,66.98,3587.41,3.58741,96.64,5.25,38.75,73.82,77.12
2,5,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,1,105,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,1,105,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,1,106,6,"a3","AO",2017-06-21,1256.39,502.158,66.07,3702.13,3.70213,96.04,4.84,38.95,73.18,71.56
2,6,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,1,106,6,"a3","AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,1,106,6,"a3","AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,"FIG17","I2",2017,"first","grain","october","I2.2017",6,1,107,12,NA,"GO",2017-08-09,2281.39,692.658,45.71,4157,4.157,96.25,1.87,40.29,73.61,57.82
2,7,"FIG17","I2",2017,"first","grain","october","I2.2017",6,1,107,12,NA,"GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,"FIG17","I2",2017,"first","grain","october","I2.2017",6,1,107,12,NA,"GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,"FIG17","I2",2017,"first","grain","september","I2.2017",6,1,108,11,NA,"GS",2017-08-09,2281.39,692.658,44.69,4155.23,4.15523,96.69,1.47,42.3,75.01,55.46
2,8,"FIG17","I2",2017,"first","grain","september","I2.2017",6,1,108,11,NA,"GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,"FIG17","I2",2017,"first","grain","september","I2.2017",6,1,108,11,NA,"GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,"FIG17","I2",2017,"first","grain","none","I2.2017",6,1,109,10,NA,"GN",2017-08-09,2281.39,692.658,46.83,4605.84,4.60584,96.95,1.4,41.61,76.15,51.01
2,9,"FIG17","I2",2017,"first","grain","none","I2.2017",6,1,109,10,NA,"GN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,"FIG17","I2",2017,"first","grain","none","I2.2017",6,1,109,10,NA,"GN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,"FIG17","I2",2017,"first","dough","none","I2.2017",6,1,110,7,"d1","DN",2017-07-17,1788.06,543.306,43.25,3878.67,3.87867,97.03,1.46,36.58,72.52,70.73
2,10,"FIG17","I2",2017,"first","dough","none","I2.2017",6,1,110,7,"d1","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,"FIG17","I2",2017,"first","dough","none","I2.2017",6,1,110,7,"d1","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,"FIG17","I2",2017,"first","dough","october","I2.2017",6,1,111,9,"d3","DO",2017-07-17,1788.06,543.306,41.29,4382.65,4.38265,96.97,2,37.3,72.76,70.31
2,11,"FIG17","I2",2017,"first","dough","october","I2.2017",6,1,111,9,"d3","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,11,"FIG17","I2",2017,"first","dough","october","I2.2017",6,1,111,9,"d3","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,12,"FIG17","I2",2017,"first","dough","september","I2.2017",6,1,112,8,"d2","DS",2017-07-17,1788.06,543.306,42.13,3822.98,3.82298,97.64,2.16,39.19,75.69,73.05
