"id","experiment","site","year","field.year","timing.1cut","follow.cut","env","age","block","plot","trt.code","treatment","date.1cut","date.2cut","date.3cut","gdd.1cut","precip.1cut","water.1cut","yield.1cut","dry.matter.1cut","protein.1cut","ADF.1cut","NDF.1cut","NDFD48.1cut","gdd.2cut","precip.2cut","water.2cut","yield.2cut","dry.matter.2cut","protein.2cut","ADF.2cut","NDF.2cut","NDFD48.2cut","gdd.3cut","precip.3cut","water.3cut","yield.3cut","dry.matter.3cut","protein.3cut","ADF.3cut","NDF.3cut","NDFD48.3cut","gdd.extra","precip.extra","end.of.year"
1,"FIG17","I2",2017,"first","boot","september","I2.2017",6,1,101,2,"BS",2017-06-08,NA,NA,969.72,436.372,52.37,5974.05,94.04,7.76,37.52,67.54,73.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661.67,580.9,2017-12-31
2,"FIG17","I2",2017,"first","boot","none","I2.2017",6,1,102,1,"BN",2017-06-08,NA,NA,969.72,436.372,49.71,5854.62,94.4,8.46,36.69,66.27,71.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661.67,580.9,2017-12-31
3,"FIG17","I2",2017,"first","boot","october","I2.2017",6,1,103,3,"BO",2017-06-08,NA,NA,969.72,436.372,49.26,5210.38,94.68,7.06,39.14,67.95,70.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661.67,580.9,2017-12-31
4,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,1,104,5,"AS",2017-06-21,NA,NA,1256.39,502.158,66.8,3528.15,96.01,4.92,41.34,74.52,71.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,515.11,2017-12-31
5,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,1,105,4,"AN",2017-06-21,NA,NA,1256.39,502.158,66.98,3587.41,96.64,5.25,38.75,73.82,77.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,515.11,2017-12-31
6,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,1,106,6,"AO",2017-06-21,NA,NA,1256.39,502.158,66.07,3702.13,96.04,4.84,38.95,73.18,71.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,515.11,2017-12-31
7,"FIG17","I2",2017,"first","grain","october","I2.2017",6,1,107,12,"GO",2017-08-09,NA,NA,2281.39,692.658,45.71,4157,96.25,1.87,40.29,73.61,57.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,324.61,2017-12-31
8,"FIG17","I2",2017,"first","grain","september","I2.2017",6,1,108,11,"GS",2017-08-09,NA,NA,2281.39,692.658,44.69,4155.23,96.69,1.47,42.3,75.01,55.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,324.61,2017-12-31
9,"FIG17","I2",2017,"first","grain","none","I2.2017",6,1,109,10,"GN",2017-08-09,NA,NA,2281.39,692.658,46.83,4605.84,96.95,1.4,41.61,76.15,51.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,324.61,2017-12-31
10,"FIG17","I2",2017,"first","dough","none","I2.2017",6,1,110,7,"DN",2017-07-17,NA,NA,1788.06,543.306,43.25,3878.67,97.03,1.46,36.58,72.52,70.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843.33,473.96,2017-12-31
